factor,IC,ICIR,RankIC,RankICIR,long_ret,short_ret,long_short_ret,volatility,sharpe,turnover
B4_cross_dup_price_spread_bps,0.0444,0.3594,0.0471,0.4419,12.3912,-14.0175,13.2064,0.1671,79.0406,0.089
B5_trade_dup_vwap_premium,0.012,0.1238,0.0116,0.1294,4.0269,-4.4994,4.269,0.1196,35.7085,0.0903
C3_oir,0.0146,0.2623,0.0165,0.2686,5.1196,-5.0499,5.087,0.0782,65.0567,0.0798
C5_layer_stacking_x_flow_signed_1m,0.0087,0.1645,0.0083,0.1456,5.6743,-0.0427,2.8625,0.0741,38.626,0.0815
C8_spread_asymm_vol,0.0095,0.1494,0.012,0.2173,4.4746,-5.1439,4.8117,0.0859,55.9986,0.0721
D3_nbbo_size_imb,0.0146,0.2623,0.0165,0.2686,5.1196,-5.0499,5.087,0.0782,65.0567,0.0798
D5_spread_diff_mean,-0.0087,-0.1589,-0.0072,-0.1177,-3.9416,4.1047,-4.0232,0.0787,-51.1343,0.0702
E6_trade_position_skew,0.0164,0.1472,0.0409,0.3638,3.481,-3.7443,3.6134,0.1744,20.7168,0.0795
F11_liquidity_adjusted_return,-0.0132,-0.1109,-0.0182,-0.1487,-2.8406,2.1662,-2.5082,0.1799,-13.9443,0.0795
F12_micro_price_pressure,0.0092,0.1689,0.018,0.2841,5.7129,-5.8076,5.7738,0.0747,77.2482,0.0781
F4_intraday_return,-0.0125,-0.091,-0.0148,-0.1131,-3.3768,2.8243,-3.1094,0.2056,-15.1254,0.0865
F5_close_location_value,-0.0107,-0.1121,-0.0138,-0.1428,-3.5738,3.2765,-4.294,0.1543,-27.8335,0.0481
N11_phantom_asymm,-0.0151,-0.2749,-0.0216,-0.3572,-8.1616,8.0025,-8.0849,0.095,-85.1196,0.084
N1_microprice_deviation_bps,0.02,0.2584,0.0192,0.2708,7.236,-7.6141,7.4096,0.1101,67.3236,0.0728
N7_bid_lead_excess,0.0078,0.1287,0.0088,0.1347,3.3466,-2.5226,3.1835,0.0865,36.818,0.0728
avg_trade_size,0.0007,0.0071,-0.0,-0.0,0.0643,-0.7199,0.3799,0.1386,2.7409,0.0517
clv,-0.0101,-0.1136,-0.0122,-0.1355,-2.2217,6.5978,-4.7749,0.1437,-33.2378,0.0557
clv_x_imb,0.0074,0.1284,0.0082,0.1323,2.0043,-4.372,3.1929,0.0768,41.5687,0.0848
count_ofi,0.031,0.4137,0.0318,0.3945,10.2352,-11.1825,10.7155,0.1041,102.9465,0.083
dist_from_5m_high,0.0133,0.0805,0.0205,0.145,3.575,-3.3761,3.3417,0.2206,15.1483,0.0786
dist_from_5m_low,-0.0142,-0.0892,-0.0189,-0.1376,-4.6974,2.9342,-3.6743,0.2144,-17.1415,0.0794
imb_current,0.013,0.215,0.0146,0.2227,4.5909,-4.5372,4.5753,0.078,58.6601,0.0798
imb_trend,0.0133,0.2208,0.0142,0.2222,4.5938,-4.4381,4.5137,0.0775,58.2753,0.0875
imbalance_mean,0.013,0.2147,0.0146,0.2227,4.6055,-4.5508,4.5894,0.0788,58.2465,0.0799
imbalance_pos_ratio,0.0118,0.1731,0.0129,0.1766,4.5007,-3.6202,4.1065,0.0878,46.7962,0.0051
imbalance_skew,-0.0173,-0.2297,-0.0214,-0.2732,-6.9279,6.5943,-6.8056,0.0839,-81.1128,0.0054
liq_adj_ret,-0.012,-0.0998,-0.0182,-0.1486,-2.8896,2.1943,-2.5467,0.1788,-14.2467,0.0796
ofi_1m,0.0273,0.3835,0.0293,0.3925,9.2941,-10.2012,9.7688,0.0976,100.0641,0.0843
ofi_5m_avg,0.0166,0.2277,0.017,0.2227,5.3554,-5.9121,5.6364,0.0978,57.6471,0.0802
open_mean_dev,0.0084,0.0582,0.0097,0.0754,1.3389,-1.7292,1.5393,0.2005,7.6775,0.0864
range_pos_5m,-0.014,-0.1191,-0.0204,-0.1662,-3.1927,2.7367,-2.8504,0.1516,-18.8018,0.0845
ret_10m_past,-0.0173,-0.1018,-0.0237,-0.1541,-5.07,3.9926,-4.5225,0.2419,-18.6984,0.0853
ret_1m,-0.0128,-0.0882,-0.0147,-0.1128,-3.3271,2.8151,-3.0799,0.2045,-15.058,0.0865
ret_5m,-0.016,-0.0976,-0.022,-0.147,-4.4033,3.4847,-3.9196,0.2331,-16.8126,0.0859
spread_x_imb,0.0077,0.1143,0.0175,0.2651,6.1833,-6.4394,6.3238,0.0911,69.4467,0.0671
vol_adj_imb,0.0092,0.184,0.0157,0.2493,4.6767,-4.8685,4.7781,0.0676,70.6425,0.0812
vwap_mid_dev,0.018,0.0478,0.0275,0.074,3.5043,-5.5691,5.8516,0.0875,66.9019,0.0652
